unique,frequency
the,68551
of,35394
and,28071
to,25580
a,23014
in,20868
that,10407
is,9997
was,9718
he,9476
for,9275
it,8667
with,7128
as,7055
his,6894
on,6615
be,6221
at,5276
i,5162
by,5131
this,5070
had,5066
not,4537
but,4344
are,4337
from,4297
or,4053
have,3892
an,3694
they,3571
which,3418
were,3307
one,3261
you,3257
her,2991
all,2937
she,2838
there,2704
would,2682
we,2621
their,2592
him,2581
been,2436
has,2418
when,2302
who,2208
will,2198
more,2178
no,2177
if,2172
its,2122
out,2071
so,1955
said,1954
what,1890
up,1863
about,1795
can,1754
them,1752
than,1750
into,1748
only,1723
other,1648
new,1611
some,1582
could,1574
time,1557
these,1550
two,1399
may,1364
then,1360
do,1344
first,1342
now,1308
any,1302
my,1298
like,1270
such,1246
over,1217
our,1215
man,1197
me,1174
even,1145
most,1136
made,1106
also,1059
after,1058
did,1034
many,1014
must,996
before,990
years,983
af,981
back,954
through,951
well,943
where,921
much,918
your,913
way,883
down,873
should,871
because,871
just,861
each,859
mr,835
us,827
too,826
those,825
how,824
little,824
people,821
good,795
very,788
make,783
state,783
still,773
see,763
world,752
own,751
work,749
men,748
here,745
get,744
long,741
both,719
between,708
being,690
life,689
under,688
day,688
never,678
know,675
another,671
same,670
last,668
while,667
year,663
old,656
great,656
might,656
off,630
came,621
come,621
since,621
go,621
against,605
three,601
right,601
used,600
states,600
take,598
few,594
himself,583
house,581
use,577
during,569
again,569
without,568
place,558
however,551
american,550
around,549
home,542
small,535
found,526
mrs,521
thought,510
went,504
say,498
part,490
high,490
dont,489
once,489
school,482
every,481
got,481
does,477
general,476
left,475
upon,461
number,461
course,458
away,455
until,455
always,452
war,443
something,442
fact,440
though,437
united,436
water,435
put,431
less,431
think,426
enough,426
hand,425
almost,423
head,421
took,420
public,420
far,417
yet,413
told,412
nothing,406
night,405
better,404
system,404
set,401
why,401
end,398
going,397
didnt,397
asked,396
look,396
find,396
days,395
called,395
eyes,394
later,392
point,392
knew,391
program,389
next,387
city,387
give,385
business,383
government,381
let,381
toward,378
group,377
young,377
room,377
side,374
several,373
president,373
given,370
second,369
face,367
social,367
form,367
looked,366
often,366
order,365
possible,365
per,365
present,365
rather,364
among,362
early,362
important,362
things,360
white,359
john,359
national,357
need,355
case,355
felt,355
four,354
big,353
become,351
children,350
along,350
within,347
saw,347
large,347
best,345
church,342
least,338
ever,334
thing,331
family,329
want,328
seemed,327
power,325
light,325
members,324
others,320
area,320
mind,319
although,319
turned,319
development,318
interest,317
open,313
done,311
country,310
began,309
kind,309
god,309
thus,309
door,309
problem,306
help,306
certain,305
perhaps,304
means,304
matter,303
sense,303
different,301
service,300
york,299
line,292
times,292
itself,292
whole,292
above,289
name,289
example,286
show,286
today,286
company,285
law,285
gave,284
hands,283
five,283
action,281
either,281
local,281
whether,280
human,278
feet,278
quite,276
am,276
seen,275
really,274
anything,274
across,274
having,274
im,274
taken,273
car,272
death,272
week,272
history,272
past,272
body,270
field,269
half,269
word,268
tell,267
act,266
words,265
experience,265
already,264
keep,263
sure,262
money,262
college,262
themselves,262
information,261
held,261
period,260
probably,259
together,259
seems,258
c,256
cannot,256
miss,255
real,255
air,255
behind,254
question,254
political,251
free,251
making,250
office,249
brought,246
heard,244
special,244
shall,244
major,244
study,243
ago,243
moment,243
became,242
boy,242
whose,241
street,238
reason,238
result,238
federal,237
change,237
problems,237
board,236
known,236
position,236
available,234
south,233
job,233
s,232
individual,232
areas,232
turn,230
economic,230
close,229
west,227
wife,226
full,226
b,226
force,225
true,225
wanted,225
court,225
seem,224
community,223
woman,223
love,223
department,222
age,222
society,222
cost,220
common,220
ill,220
voice,220
girl,219
sometimes,219
center,218
six,218
front,218
following,217
students,217
run,216
clear,216
future,215
further,215
feel,215
party,214
control,214
provide,213
necessary,213
land,212
mother,211
able,211
level,210
stood,210
town,210
policy,210
music,210
child,209
morning,209
short,209
figure,208
outside,206
university,206
military,206
education,205
effect,205
art,205
century,204
leave,204
top,204
north,203
class,203
therefore,202
usually,202
strong,201
nations,201
total,201
sound,201
plan,201
black,200
believe,200
says,200
evidence,200
hard,199
rate,199
th,199
soon,198
mean,198
tax,198
million,197
type,197
minutes,197
washington,197
schools,197
various,197
play,196
peace,196
table,196
lines,195
road,195
value,194
near,194
modern,194
started,193
gone,193
red,193
surface,193
process,192
dr,192
women,192
book,191
living,191
situation,191
nor,191
idea,190
cut,189
months,189
longer,188
personal,188
third,188
english,187
alone,187
finally,187
expected,186
thats,186
needed,186
increase,186
private,185
view,185
kept,184
fire,184
nature,183
america,183
father,182
ground,182
secretary,182
call,182
dark,181
east,181
values,181
moved,180
greater,180
space,180
spirit,179
pressure,179
wrote,179
except,179
everything,179
union,178
section,178
support,177
complete,176
recent,176
taking,175
st,175
late,175
basis,174
live,174
ones,174
hope,174
inside,173
couldnt,173
dead,173
brown,173
lost,172
looking,172
coming,172
pay,172
return,172
particular,172
attention,172
added,172
material,172
read,171
required,171
simply,171
else,171
beyond,171
person,170
conditions,170
stage,170
cant,170
tried,170
costs,170
data,170
feeling,170
single,169
forces,169
move,168
cold,168
heart,168
reached,168
hours,168
miles,168
equipment,167
basic,167
followed,167
report,167
hold,166
instead,166
makes,166
low,166
island,166
developed,166
committee,166
shown,165
son,165
industry,165
hundred,165
amount,164
defense,163
friends,163
research,163
ten,163
central,162
getting,162
trying,161
actually,161
t,161
sort,160
fine,160
including,160
religious,160
boys,160
river,160
care,160
received,159
beginning,159
medical,159
higher,159
doing,159
meeting,158
wall,158
picture,158
difficult,157
simple,157
building,157
walked,157
similar,157
indeed,156
range,156
rest,156
terms,155
passed,155
subject,155
bring,155
administration,154
wasnt,154
paper,154
cent,154
especially,154
police,154
talk,153
training,153
final,153
start,153
hear,152
natural,152
hall,152
floor,152
written,151
county,151
congress,151
answer,151
youre,150
property,150
growth,150
story,150
working,150
needs,149
suddenly,149
weeks,149
likely,149
girls,148
market,148
cases,148
results,148
foreign,148
happened,148
england,147
issue,147
earth,147
hour,147
p,147
sat,147
hair,146
meet,146
international,146
considered,146
labor,146
sent,145
particularly,145
purpose,145
using,145
letter,145
fall,144
below,144
club,144
effort,144
food,144
production,144
increased,143
involved,143
thinking,143
william,143
earlier,143
deal,143
stand,143
yes,142
points,142
whom,142
certainly,142
ready,142
knowledge,142
countries,142
addition,141
bill,141
blue,141
bad,140
methods,140
decided,140
paid,140
neither,140
kennedy,140
entire,140
square,140
stock,140
difference,140
statement,140
according,140
method,139
christian,139
d,139
due,139
showed,139
trade,138
try,138
questions,138
ideas,137
remember,137
member,136
nearly,136
comes,136
anyone,136
moral,136
directly,136
industrial,136
western,135
understand,135
color,135
french,135
record,135
size,135
lay,135
reading,135
trouble,134
strength,134
concerned,134
ran,134
southern,134
temperature,133
month,133
population,133
appeared,133
sales,133
throughout,133
aid,132
merely,132
physical,132
e,132
trial,132
programs,132
maybe,132
opened,131
association,131
district,131
direction,131
evening,130
friend,130
led,130
chance,130
husband,130
continued,130
piece,130
step,130
list,130
normal,129
hot,129
generally,129
met,129
summer,129
j,129
volume,129
degree,129
systems,128
army,128
wouldnt,128
services,128
wrong,128
literature,128
ask,128
direct,127
student,127
former,127
works,127
science,127
theory,127
soviet,127
consider,127
stopped,127
series,126
lot,126
provided,126
note,126
bed,126
changes,126
movement,126
influence,126
clearly,126
ways,126
fear,125
myself,125
average,125
ive,125
lead,125
worked,125
press,125
carried,125
hes,125
hell,125
george,125
groups,124
nation,124
beautiful,124
somewhat,124
organization,124
hotel,124
plant,124
de,123
numbers,123
mans,123
herself,123
cause,123
game,123
apparently,123
meaning,123
lower,123
planning,123
arms,123
forms,123
spring,123
wide,122
truth,122
treatment,122
placed,122
efforts,122
feed,122
persons,121
couple,121
running,121
effective,121
daily,121
middle,121
eye,121
easy,121
approach,121
march,121
freedom,120
farm,120
stop,120
larger,120
immediately,120
recently,120
oh,120
charge,119
served,119
chief,119
performance,119
main,119
opportunity,119
cars,119
steps,119
radio,118
blood,118
additional,118
image,118
respect,118
reaction,118
technical,118
decision,118
fiscal,117
manner,117
reported,117
window,117
gun,117
horse,116
described,116
green,116
writing,116
hit,115
british,115
types,115
learned,115
aj,115
forward,115
test,114
corner,114
character,114
religion,114
returned,114
doubt,114
activity,114
understanding,114
lived,114
r,114
nuclear,113
gives,113
serious,113
based,113
sun,113
obviously,113
progress,113
plane,113
shot,113
plans,113
length,113
responsibility,113
europe,113
slowly,113
letters,113
audience,113
include,113
straight,112
determined,112
parts,112
choice,112
saying,112
seven,112
quality,112
pattern,112
operation,111
pool,111
latter,111
appear,111
design,111
obtained,111
born,110
h,110
stay,110
justice,110
figures,110
leaders,110
staff,110
account,110
moving,110
ball,110
whatever,110
specific,110
activities,109
visit,109
wish,109
theres,109
standard,109
hospital,109
waiting,109
ahead,108
corps,108
democratic,108
mass,108
function,108
heavy,108
id,107
cities,107
expect,107
principle,107
deep,107
growing,107
poor,107
speak,107
f,107
lack,107
indicated,107
o,106
wont,106
language,106
established,106
completely,106
analysis,106
none,106
extent,106
distance,105
firm,105
applied,105
hardly,105
division,105
married,105
income,105
importance,105
easily,105
afternoon,105
scene,105
faith,105
attitude,105
write,104
season,104
drive,104
determine,104
factors,104
pretty,104
eight,104
spent,104
attack,104
health,104
elements,104
existence,104
suggested,104
covered,104
thomas,104
limited,104
rhode,104
role,103
designed,103
reach,103
products,103
exactly,103
continue,103
effects,103
mouth,103
teeth,103
