unique,frequency
an,119922
a,119784
agus,82953
na,61574
ar,60514
i,39746
go,33349
le,30193
ag,28334
ã,25061
sã,20441
is,20210
de,17953
mar,17489
sin,16971
in,15976
leis,15783
do,15183
sa,14494
bhã­,13177
seo,13058
ach,12188
mã,12038
airteagal,11981
ina,10786
tã¡,10663
nã,10363
chun,10239
nã­,10196
atã¡,9512
den,8741
dã¡,8182
bhfuil,8137
fãin,7694
siad,7596
faoi,7298
nã¡,6876
nach,6706
iad,6634
mo,6571
don,6559
tiarna,6554
as,6545
-,6391
aon,5932
eile,5912
tã,5758
raibh,5747
nuair,5692
ann,5469
duine,5394
gur,5250
ã¡,4791
dã,4735
ãn,4712
gan,4627
maidir,4581
san,4496
amach,4474
chur,4467
lena,4450
lã¡,4388
gach,4356
cuirtear,4088
chãad,3894
chuid,3795
ionad,3790
ba,3774
ã­,3698
chuir,3676
aontais,3664
trã­,3521
dãirt,3495
sã­,3481
bheith,3438
air,3390
thug,3314
rãir,3312
ansin,3308
isteach,3252
acu,3246
thã¡inig,3208
dhãanamh,3137
beidh,3110
chonradh,3043
rã­,2947
sna,2880
lãir,2819
bhliain,2791
rinne,2790
chomhairle,2736
aige,2728
idir,2726
tar,2686
ãis,2673
rud,2573
amhã¡in,2566
bheidh,2527
mãr,2526
dul,2505
chomh,2491
leo,2438
nã­os,2413
mac,2356
agam,2349
eorpach,2345
sibh,2328
mã­r,2322
gcomhrãir,2319
daoine,2312
dtã­,2301
orthu,2295
dãibh,2241
thabhairt,2234
bhur,2223
aghaidh,2212
mã¡,2202
heorpa,2192
maith,2169
iosrael,2164
liom,2142
x,2069
dia,2033
leanas,2026
uile,2022
fear,2006
nua,1983
arna,1978
dara,1952
chãile,1943
cur,1937
sã­os,1919
â€“,1904
deireadh,1895
nã­l,1869
nãs,1847
imeachta,1827
ã¡it,1796
fãidir,1780
mhã­r,1774
cuid,1772
ballstã¡it,1767
lucht,1746
mbeidh,1745
dhã¡,1739
eorpaigh,1721
ceann,1720
tã­r,1684
nã­or,1668
fad,1650
chuaigh,1643
freisin,1623
aontas,1619
faoin,1610
dairteagal,1596
gcomhairle,1592
ã¡r,1588
anois,1579
cã,1563
dtagraã­tear,1559
dom,1550
os,1491
bhaineann,1482
bith,1477
rã¡,1472
orm,1472
mãid,1456
teacht,1452
bhã­onn,1437
fã¡il,1432
leith,1429
thar,1412
mbeadh,1409
ea,1402
rialachã¡n,1396
bhrã­,1382
lã¡thair,1382
leabhar,1370
ã“,1361
dãanfaidh,1348
scãal,1348
forã¡lacha,1337
gã¡,1333
mise,1309
mhac,1303
fheidhmiã,1290
cuireadh,1285
ãir,1277
arã­s,1277
linn,1260
di,1260
bã­odh,1259
gaeilge,1259
am,1255
bhfeidhm,1245
mã¡s,1228
fuair,1223
clann,1218
dlã­,1217
suas,1212
nã¡isiãnta,1210
roimh,1184
trã­ã,1180
parlaimint,1172
fãadfaidh,1160
chuig,1156
ainm,1150
measc,1145
hã¡irithe,1142
cãanna,1141
the,1121
duit,1119
bheadh,1114
nã¡r,1107
bliain,1095
bearta,1080
bã­onn,1079
deir,1078
hairteagal,1058
gcã¡s,1057
ghlacadh,1057
uair,1056
aontaithe,1051
leat,1050
chlann,1049
dhia,1040
ã¡fach,1025
bharr,1019
taobh,1014
fãs,1007
gnã­omhã,1004
mballstã¡t,1002
siãd,990
bliana,988
comhairle,985
anseo,984
chuige,983
ort,981
feidhme,980
agat,976
ã“ir,972
teanga,966
saol,966
tarchur,962
ndiaidh,958
leor,955
feadh,943
gcuid,941
rialacha,940
lã­on,939
iarraidh,939
mhuintir,936
cuirfidh,932
fiã,925
ãosa,925
ais,924
stã¡it,910
leagan,908
cinn,906
airteagail,904
thã,904
coimisiãn,904
rã­ocht,894
fhios,893
lã¡n,890
b,883
slã¡ndã¡la,882
anuas,873
ceart,872
talamh,872
inniu,868
bhaint,863
mhãr,860
athuimhrã­tear,857
bã¡s,857
fada,856
agaibh,856
blianta,854
cheann,847
ã¡irithe,844
chomhphobail,836
um,835
cinneadh,835
cheart,833
roinnt,831
dãag,830
ce,820
teideal,819
pharlaimint,816
chathair,815
beag,813
muintir,811
dãanamh,801
ãsã¡id,800
againn,795
s,793
cad,791
